title,rating,ranking
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7.89,702
Hachimitsu to Clover,8.04,501
Lovely★Complex,8.04,502
Magi: The Labyrinth of Magic,8.04,503
Nagi no Asu kara,8.04,504
Beelzebub,7.89,703
Detective Conan Movie 02: The Fourteenth Target,7.89,704
Gake no Ue no Ponyo,7.89,705
Gekkan Shoujo Nozaki-kun,7.89,706
Lupin III vs. Detective Conan: The Movie,7.89,707
Mahou Shoujo Lyrical Nanoha: The Movie 1st,7.89,708
Bungou Stray Dogs: Dead Apple,7.88,709
Carnival Phantasm,7.88,710
Douluo Dalu,7.88,711
Durarara!! Specials,7.88,712
Gakuen Babysitters,7.88,713
Grisaia no Meikyuu: Caprice no Mayu 0,7.88,714
Hoozuki no Reitetsu 2nd Season,7.88,715
Initial D Third Stage,7.88,716
Kara no Kyoukai 4: Garan no Dou,7.88,717
Kono Oto Tomare!,7.88,718
Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,7.88,719
Noragami Aragoto OVA,7.88,720
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,7.88,721
Seitokai Yakuindomo* OVA,7.88,722
Space☆Dandy,7.88,723
Tennis no Ouji-sama,7.88,724
Tentai Senshi Sunred 2nd Season,7.88,725
Top wo Nerae! Gunbuster,7.88,726
Wotaku ni Koi wa Muzukashii OVA,7.88,727
Osomatsu-san Movie,7.87,728
Tanaka-kun wa Itsumo Kedaruge,7.87,729
Uchouten Kazoku,7.87,730
Yuru Yuri Nachuyachumi!,7.87,731
Aggressive Retsuko (ONA) 3rd Season,7.87,732
SK∞,8.04,505
Toaru Kagaku no Railgun S,8.04,506
Tokyo Magnitude 8.0,8.04,507
Wan Sheng Jie 2,8.04,508
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.04,509
Omae Umasou da na,8.03,510
Promare,8.03,511
Slayers Next,8.03,512
Clannad,8.03,513
Detective Conan Movie 03: The Last Wizard of the Century,8.03,514
Detective Conan Movie 04: Captured in Her Eyes,8.03,515
ef: A Tale of Melodies.,8.03,516
Eve no Jikan (Movie),8.03,517
FLCL,8.03,518
Kaichou wa Maid-sama!,8.03,519
Kara no Kyoukai Movie: Mirai Fukuin,8.03,520
Mobile Suit Gundam: Iron-Blooded Orphans,8.03,521
